experiment,group,epoch,clean_ap50_95,random_ap50_95,random_asr,adversarial_ap50_95,adversarial_asr,result_dir
ablation_no_transform_10_seed42_e10_fullval,ablation_no_transform_10_seed42,10,0.997000,0.447000,0.327000,0.205000,0.586000,runs/test_adversarial/ablation_no_transform_10_seed42_e10_fullval/20260821-184915_ablation_no_transform_10_seed42
ablation_no_transform_10_seed123_e10_fullval,ablation_no_transform_10_seed123,10,0.997000,0.447000,0.327000,0.207000,0.581000,runs/test_adversarial/ablation_no_transform_10_seed123_e10_fullval/20260821-192909_ablation_no_transform_10_seed123
ablation_no_transform_10_seed2026_e10_fullval,ablation_no_transform_10_seed2026,10,0.997000,0.447000,0.327000,0.199000,0.579000,runs/test_adversarial/ablation_no_transform_10_seed2026_e10_fullval/20260821-200052_ablation_no_transform_10_seed2026
