experiment,group,epoch,clean_ap50_95,random_ap50_95,random_asr,adversarial_ap50_95,adversarial_asr,result_dir
ablation_no_gaussian_10_seed42_e10_fullval,ablation_no_gaussian_10_seed42,10,0.997000,0.447000,0.327000,0.206000,0.581000,runs/test_adversarial/ablation_no_gaussian_10_seed42_e10_fullval/20260821-205608_ablation_no_gaussian_10_seed42
ablation_no_gaussian_10_seed123_e10_fullval,ablation_no_gaussian_10_seed123,10,0.997000,0.447000,0.327000,0.206000,0.581000,runs/test_adversarial/ablation_no_gaussian_10_seed123_e10_fullval/20260821-213530_ablation_no_gaussian_10_seed123
ablation_no_gaussian_10_seed2026_e10_fullval,ablation_no_gaussian_10_seed2026,10,0.997000,0.447000,0.327000,0.200000,0.578000,runs/test_adversarial/ablation_no_gaussian_10_seed2026_e10_fullval/20260821-221407_ablation_no_gaussian_10_seed2026
