experiment,group,epoch,clean_ap50_95,random_ap50_95,random_asr,adversarial_ap50_95,adversarial_asr,result_dir
ablation_full_10_seed42_e10_fullval,ablation_full_10_seed42,10,0.997000,0.447000,0.327000,0.178000,0.597000,runs/test_adversarial/ablation_full_10_seed42_e10_fullval/20260820-203925_ablation_full_10_seed42
ablation_full_10_seed123_e10_fullval,ablation_full_10_seed123,10,0.997000,0.447000,0.327000,0.189000,0.595000,runs/test_adversarial/ablation_full_10_seed123_e10_fullval/20260820-211637_ablation_full_10_seed123
ablation_full_10_seed2026_e10_fullval,ablation_full_10_seed2026,10,0.997000,0.447000,0.327000,0.194000,0.589000,runs/test_adversarial/ablation_full_10_seed2026_e10_fullval/20260820-233125_ablation_full_10_seed2026
