experiment,group,epoch,clean_ap50_95,random_ap50_95,random_asr,adversarial_ap50_95,adversarial_asr,result_dir
ablation_no_rotate_10_seed42_e10_fullval,ablation_no_rotate_10_seed42,10,0.997000,0.447000,0.327000,0.337000,0.468000,runs/test_adversarial/ablation_no_rotate_10_seed42_e10_fullval/20260821-143511_ablation_no_rotate_10_seed42
ablation_no_rotate_10_seed123_e10_fullval,ablation_no_rotate_10_seed123,10,0.997000,0.447000,0.327000,0.342000,0.462000,runs/test_adversarial/ablation_no_rotate_10_seed123_e10_fullval/20260821-151338_ablation_no_rotate_10_seed123
ablation_no_rotate_10_seed2026_e10_fullval,ablation_no_rotate_10_seed2026,10,0.997000,0.447000,0.327000,0.195000,0.590000,runs/test_adversarial/ablation_no_rotate_10_seed2026_e10_fullval/20260821-155251_ablation_no_rotate_10_seed2026
