experiment,images,clean_references,random_asr,transfer_asr,transfer_gain
seed42_full,548,10734,0.315632569405627,0.4199739146636855,0.1043413452580585
seed123_full,548,10734,0.3142351406744923,0.40255263648220607,0.08831749580771375
seed2026_full,548,10734,0.30771380659586356,0.3937954164337619,0.08608160983789837
