experiment,group,epoch,clean_ap50_95,random_ap50_95,random_asr,adversarial_ap50_95,adversarial_asr,result_dir
ablation_no_location_10_seed42_e10_fullval,ablation_no_location_10_seed42,10,0.997000,0.447000,0.327000,0.182000,0.615000,runs/test_adversarial/ablation_no_location_10_seed42_e10_fullval/20260821-162349_ablation_no_location_10_seed42
ablation_no_location_10_seed123_e10_fullval,ablation_no_location_10_seed123,10,0.997000,0.447000,0.327000,0.176000,0.608000,runs/test_adversarial/ablation_no_location_10_seed123_e10_fullval/20260821-170011_ablation_no_location_10_seed123
ablation_no_location_10_seed2026_e10_fullval,ablation_no_location_10_seed2026,10,0.997000,0.447000,0.327000,0.177000,0.598000,runs/test_adversarial/ablation_no_location_10_seed2026_e10_fullval/20260821-174022_ablation_no_location_10_seed2026
